#topo1 ((fin.yell,fin.white),est.white,scot.yell);
#topo2 ((fin.yell,est.white),fin.white,scot.yell);
#topo3 ((fin.yell,scot.yell),fin.white,est.white);
topo1	topo2	topo3
89384	120548	124468
128480	99444	106476
144088	92207	98105
162940	101935	69525
101734	104584	128082
148453	104021	81926
147358	88906	98136
50670	154392	129338
87876	140822	105702
119782	122561	92057
108392	133260	92748
152928	86406	95066
110706	120906	102788
153650	95691	85059
78408	115700	140292
144574	119266	70560
127906	96190	110304
137082	93110	104208
94726	132491	107183
99855	102510	132035
118476	104151	111773
121299	104671	108430
121643	124288	88469
73670	108458	152272
119826	120896	93678
92308	128480	113612
102352	109446	122602
98553	129163	106684
113202	128379	92819
149000	85170	100230
115610	117950	100840
127716	92482	114202
178198	72132	84070
159215	92638	82547
122788	114946	96666
131776	112100	90524
132848	124948	76604
84058	160271	90071
102052	141054	91294
92277	96177	145946
130446	96968	106986
95586	118602	120212
94238	89770	150392
185632	58630	90138
106954	105667	121779
139012	79714	115674
101202	107654	125544
112520	110676	111204
95184	130902	108314
100856	96652	136892
148453	72484	113463
132928	127806	73666
110322	113270	110808
125224	73018	136158
157990	65131	111279
137642	80716	116042
133468	80276	120656
107460	110168	116772
119331	99816	115253
136568	96618	101214
120714	67640	146046
119336	115414	99650
92288	113848	128264
107732	83004	143664
101575	114776	118049
86720	116108	131572
112373	111284	110743
91732	147150	95518
101197	117323	115880
113762	106818	113820
105545	117779	111076
91718	112327	130355
113322	98291	122787
126545	101688	106167
89014	126589	118797
84654	160314	89432
86132	148706	99562
117726	132768	83906
183572	101698	49130
122842	116544	95014
127940	122435	84025
79744	159296	95360
83866	147970	102564
108074	157693	68633
91330	91044	152026
118964	91352	124084
103186	128156	103058
130404	110559	93437
129514	119492	85394
123308	130862	80230
121738	102224	110438
134986	107736	91678
103418	105588	125394
88805	153955	91640
102378	125648	106374
112858	119772	101770
89212	132706	112482
80364	142100	111936
71200	165096	98104
72668	170202	91530
62073	206272	66055
73442	179670	81288
109202	102516	122682
82853	143754	107793
109368	77358	147674
107509	128550	98341
101105	117918	115377
115112	109280	110008
153479	102864	78057
179480	94016	60904
135340	114183	84877
106810	110054	117536
126309	104696	103395
164494	85752	84154
136803	96156	101441
118140	111024	105236
118285	103257	112858
140158	102262	91980
121720	106782	105898
111906	117168	105326
135001	96227	103172
110311	102642	121447
202287	66516	65597
136492	99526	98382
143121	99231	92048
117590	110879	105931
96816	124695	112889
85284	114906	134210
107449	91905	135046
84296	101726	148378
111888	108636	113876
90518	122274	121608
160437	81987	91976
101209	112872	120319
103198	119326	111876
112198	89711	132491
104574	95706	134120
124950	102652	106798
103844	106207	124349
141318	77364	115718
129812	93818	110770
110524	125456	98420
127320	105042	102038
107307	113093	114000
144135	95290	94975
164283	78493	91624
113739	107522	113139
116402	108711	109287
116364	108952	109084
121346	107518	105536
104302	114096	116002
81157	117756	135487
134272	102942	97186
151884	75966	106550
148730	81526	104144
141658	95634	97108
135171	101652	97577
146277	94458	93665
111117	108908	114375
140569	103679	90152
140577	95836	97987
137873	90679	105848
137708	96872	99820
113711	109810	110879
127038	106843	100519
171665	74599	88136
133136	91288	109976
111173	111390	111837
110842	94574	128984
105898	111378	117124
128441	109681	96278
148787	93838	91775
138980	90778	104642
121598	109238	103564
166912	80802	86686
148026	104274	82100
148410	88542	97448
102434	107004	124962
132498	105873	96029
160586	87487	86327
134246	98309	101845
175746	86049	72605
187864	69622	76914
208351	61620	64429
121660	105487	107253
194772	74244	65384
140334	103074	90992
155558	84343	94499
139800	90049	104551
138916	86472	109012
165005	74538	94857
137501	96968	99931
128175	100566	105659
110532	119602	104266
85164	134760	114476
133036	93930	107434
115700	100076	118624
139484	91224	103692
147354	92337	94709
111742	93612	129046
179685	63495	91220
143592	81382	109426
187697	58970	87733
131416	90108	112876
129242	115221	89937
137482	106439	90479
164100	120150	50150
185470	66240	82690
142250	97356	94794
96100	147810	90490
119406	144736	70258
120568	113290	100542
100461	105050	128889
158765	88987	86648
127336	81728	125336
208741	68502	57157
196796	59938	77666
95173	126463	112764
166379	77648	90373
61511	90616	182273
134039	89008	111353
184164	76592	73644
173678	73924	86798
166830	76210	91360
179192	81300	73908
132392	99446	102562
110672	104310	119418
79836	114978	139586
97534	114706	122160
147028	94789	92583
141070	102075	91255
94790	76862	162748
118397	94180	121823
105944	107878	120578
118937	105473	109990
123163	85049	126188
156744	67304	110352
133055	95840	105505
128531	98704	107165
127186	108898	98316
65642	136742	132016
74679	111546	148175
114600	104514	115286
126987	96585	110828
179202	65606	89592
116662	102170	115568
142833	88823	102744
167918	81428	85054
155958	92950	85492
116892	94618	122890
121039	118542	94819
101159	106292	126949
151336	87916	95148
176072	75810	82518
158606	89050	86744
186980	65582	81838
179118	87946	67336
237336	44774	52290
238335	45086	50979
205104	50540	78756
171568	85443	77389
180030	76417	77953
147182	97132	90086
204690	69620	60090
191949	65766	76685
45506	153956	134938
98914	111652	123834
140260	96306	97834
125631	107587	101182
165844	85516	83040
234453	50609	49338
181352	76938	76110
161119	82078	91203
130570	94185	109645
100846	130696	102858
122314	109160	102926
161330	88909	84161
120973	107827	105600
125560	108450	100390
187872	77332	69196
119203	112153	103044
134130	81990	118280
127118	101630	105652
148504	89358	96538
146606	97043	90751
147563	95893	90944
148399	101671	84330
107170	105400	121830
161212	85844	87344
133526	100540	100334
171029	82365	81006
108742	126788	98870
94996	124512	114892
108072	109785	116543
46230	188040	100130
90504	103904	139992
114318	112080	108002
98368	120381	115651
90026	98925	145449
115740	110922	107738
169460	73946	90994
122510	109797	102093
85104	103944	145352
117387	113346	103667
106682	126405	101313
129399	115366	89635
133848	114482	86070
121546	97963	114891
175548	82508	76344
126614	112920	94866
117411	98962	118027
112370	109188	112842
204811	61657	67932
170051	76045	88304
133232	105054	96114
69096	135632	129672
145911	96190	92299
108820	112532	113048
102290	120814	111296
118462	111388	104550
123410	98642	112348
129134	106526	98740
130700	115121	88579
107972	118794	107634
144135	84077	106188
206364	70280	57756
132652	107012	94736
163425	81547	89428
143718	97918	92764
120685	99139	114576
113626	116594	104180
100130	118750	115520
119796	73142	141462
152774	88591	93035
118588	106624	109188
125300	82458	126642
145595	90285	98520
122661	105863	105876
128784	86820	118796
131268	104889	98243
115534	111940	106926
140220	101900	92280
102806	107326	124268
112734	101106	120560
120972	112742	100686
158743	90786	84871
nan	nan	nan
119772	94228	120400
96554	112386	125460
126114	115954	92332
134726	105410	94264
121518	126009	86873
108740	109782	115878
139110	91720	103570
101304	111428	121668
98106	128286	108008
117400	114884	102116
106750	120716	106934
122627	99846	111927
133243	92822	108335
104227	127949	102224
133202	89428	111770
121041	105110	108249
110397	110848	113155
112444	107055	114901
117564	105936	110900
109350	124488	100562
99896	98850	135654
99766	107024	127610
125664	86220	122516
154660	94470	85270
188387	68002	78011
172576	70170	91654
146585	90497	97318
107879	107091	119430
145964	94934	93502
115480	126340	92580
116024	122026	96350
124432	109474	100494
123050	107230	104120
102533	118588	113279
102058	140349	91993
132427	118173	83800
66626	118555	149219
77869	154928	101603
97710	142506	94184
102092	128194	104114
94056	120875	119469
123765	110222	100413
111294	120359	102747
118089	117848	98463
98242	143564	92594
112015	119359	103026
183898	82006	68496
105471	131226	97703
169188	82929	82283
118318	113192	102890
123498	98694	112208
140806	114901	78693
121148	134634	78618
72334	177106	84960
95584	124953	113863
117496	103614	113290
117433	110185	106782
107018	116618	110764
127540	112660	94200
111785	111201	111414
116400	108549	109451
131987	112021	90392
148706	56564	129130
177611	77020	79769
170932	83249	80219
138424	100212	95764
104034	131872	98494
165559	83027	85814
143207	99963	91230
152914	84958	96528
131118	112538	90744
211522	65716	57162
105455	121812	107133
126275	106113	102012
112802	107606	113992
88192	113193	133015
117734	110546	106120
156122	95533	82745
146422	93118	94860
126327	128957	79116
144908	95479	94013
147494	96716	90190
134354	109840	90206
134409	101431	98560
124292	119078	91030
128250	116254	89896
139813	104418	90169
155413	86221	92766
145371	99166	89863
124053	113977	96370
113798	121212	99390
136922	108242	89236
138130	91002	105268
133939	102896	97565
137594	104560	92246
134555	89828	110017
143100	88130	103170
174053	79954	80393
124682	79982	129736
94394	114896	125110
113390	115844	105166
109144	121941	103315
119466	109715	105219
108030	115699	110671
48482	166226	119692
74676	160438	99286
89616	138184	106600
97820	134834	101746
144590	102906	86904
100144	109102	125154
115063	109396	109941
74126	149940	110334
73208	118596	142596
78140	135982	120278
98430	127941	108029
131924	93522	108954
121755	107972	104673
104430	110408	119562
122258	83710	128432
117846	107224	109330
113590	124914	95896
154179	92572	87649
116007	119440	98953
114730	112483	107187
110786	111274	112340
133799	100414	100187
105524	134946	93930
112545	115195	106660
126759	107396	100245
129250	105552	99598
119189	110646	104565
132388	85111	116901
142521	89803	102076
130690	100294	103416
113909	117876	102615
143238	103110	88052
146588	89697	98115
163097	81136	90167
155920	83342	95138
148308	90006	96086
140316	91151	102933
151000	105882	77518
121898	100711	111791
115458	112214	106728
146606	107626	80168
120056	103062	111282
143739	99583	91078
129791	103734	100875
103895	106727	123778
119198	123460	91742
148857	95576	89967
139908	103860	90632
158971	91167	84262
145478	94966	93956
110459	113892	110049
121536	109464	103400
221252	57489	55659
104019	129393	100988
102590	139091	92719
102119	148485	83796
116251	112812	105337
159728	87786	86886
250441	39323	44636
207410	63255	63735
153478	90895	90027
107062	137924	89414
122926	129586	81888
124388	147912	62100
116972	125610	91818
172219	81923	80258
225758	63286	45356
128682	111376	94342
124881	117127	92392
135948	146524	51928
197502	62008	74890
129964	111574	92862
122061	116943	95396
97885	141224	95291
124160	103738	106502
111960	114630	107810
152920	91909	89571
197538	58980	77882
131596	90040	112764
170011	74331	90058
166677	82694	85029
93536	107943	132921
122925	94919	116556
105407	125447	103546
106952	104252	123196
118015	109564	106821
122650	110373	101377
97328	129154	107918
106902	118822	108676
110595	120630	103175
104810	109986	119604
90775	126459	117166
141058	93152	100190
126443	118814	89143
112141	119462	102797
nan	nan	nan
124524	96921	112955
115886	112477	106037
132811	97369	104220
95164	112634	126602
119344	97938	117118
122909	105437	106054
104319	113294	116787
117027	95632	121741
106596	104718	123086
209768	63346	61286
145547	95734	93119
152622	86538	95240
157739	96055	80606
119008	115660	99732
105723	103520	125157
96812	124023	113565
111058	117262	106080
130963	123937	79500
113658	98072	122670
144576	90526	99298
111346	119894	103160
129592	100005	104803
122580	101414	110406
131857	99606	102937
137188	112110	85102
199416	69964	65020
129247	106208	98945
113180	119820	101400
130567	91692	112141
119766	110226	104408
114392	115794	104214
116572	114140	103688
176092	92472	65836
137827	94417	102156
134845	109812	89743
112416	117468	104516
116245	110285	107870
114114	118134	102152
118446	113425	102529
114187	116373	103840
96424	147530	90446
94950	150911	88539
87684	140556	106160
81915	131936	120549
82782	150014	101604
108930	127388	98082
123123	115133	96144
78427	161717	94256
96384	145617	92399
94395	147460	92545
117052	130060	87288
77878	176946	79576
112614	119401	102385
105292	116170	112938
102250	139422	92728
80506	173538	80356
79126	167502	87772
85524	110504	138372
91922	134641	107837
95174	121312	117914
74607	150129	109664
104931	118131	111338
107310	98244	128846
116442	116088	101870
111092	119430	103878
106685	135429	92286
112411	113212	108777
108566	100470	125364
107490	105024	121886
96791	114458	123151
115132	151466	67802
106798	140834	86768
119594	127012	87794
118368	122718	93314
118628	113907	101865
54196	99984	180220
104401	109943	120056
100673	125654	108073
130906	103296	100198
90234	108860	135306
141749	102204	90447
112624	122406	99370
116994	116494	100912
123492	124694	86214
116128	112070	106202
127668	84292	122440
115050	114696	104654
116814	137317	80269
96143	107428	130829
69344	95658	169398
106781	112339	115280
110270	113400	110730
108333	106115	119952
99404	102960	132036
120145	93899	120356
153894	95864	84642
174292	80932	79176
120768	104040	109592
134814	107187	92399
119656	92188	122556
158728	87804	87868
130562	108066	95772
138714	106868	88818
177668	90980	65752
130490	107661	96249
138594	92676	103130
129818	104873	99709
112614	104140	117646
111568	126426	96406
122402	108978	103020
120622	104293	109485
129678	102636	102086
120483	110962	102955
106166	116604	111630
93588	93671	147141
99727	117144	117529
95018	131786	107596
164004	82874	87522
136867	94864	102669
144147	90974	99279
162655	84392	87353
122888	101726	109786
103568	123282	107550
118953	107016	108431
113584	128693	92123
109630	116878	107892
149363	89271	95766
103512	130724	100164
106478	132144	95778
151814	102214	80372
117136	108101	109163
76306	152834	105260
141396	116797	76207
117339	130906	86155
124503	109190	100707
139850	99499	95051
139772	90508	104120
134664	95552	104184
112176	109151	113073
114869	121289	98242
113253	122160	98987
158072	83704	92624
123260	109001	102139
92658	113621	128121
226782	58636	48982
171897	81939	80564
128738	111280	94382
234648	49580	50172
160791	75307	98302
109217	99254	125929
89837	119615	124948
74513	112437	147450
106406	95928	132066
113717	111114	109569
126924	110026	97450
136166	93829	104405
111179	119147	104074
